id,name,lng,lat
StopArea:OCE71793150,Portbou,3.158034,42.424701
StopArea:OCE87481440,Clisson,-1.286292,47.086015
StopArea:OCE87485144,Rochefort,-0.963556,45.947189
StopArea:OCE87486258,Luçon,-1.167421,46.463627
StopArea:OCE87491001,Saintes,-0.6179,45.74874
StopArea:OCE87491142,Jonzac,-0.44164,45.438746
StopArea:OCE87543017,Les Aubrais,1.906629,47.926801
StopArea:OCE87547000,Paris Austerlitz,2.364891,48.842285
StopArea:OCE87576009,Vierzon,2.059869,47.226474
StopArea:OCE87576207,Bourges,2.394236,47.094129
StopArea:OCE87586545,Marmande,0.168091,44.503071
StopArea:OCE87592006,Limoges Bénédictins,1.267419,45.836207
StopArea:OCE87592378,La Souterraine,1.492207,46.239782
StopArea:OCE87594002,Brive-la-Gaillarde,1.528634,45.152601
StopArea:OCE87594200,Uzerche,1.570272,45.440654
StopArea:OCE87594333,Souillac,1.466605,44.902127
StopArea:OCE87594572,Saint-Denis-lès-Martel,1.666238,44.946029
StopArea:OCE87597005,Châteauroux,1.699483,46.809812
StopArea:OCE87597062,Issoudun,1.985741,46.948696
StopArea:OCE87597120,Argenton-sur-Creuse,1.518256,46.59225
StopArea:OCE87611137,Saint-Gaudens,0.729154,43.105048
StopArea:OCE87611152,Montréjeau - Gourdan-Polignan,0.57359,43.078085
StopArea:OCE87611343,Pamiers,1.619451,43.116207
StopArea:OCE87611368,Saverdun,1.570636,43.239335
StopArea:OCE87611384,Auterive,1.468831,43.348993
StopArea:OCE87611483,Latour-de-Carol - Enveitg,1.904433,42.458991
StopArea:OCE87611509,Porté-Puymorens,1.824852,42.538781
StopArea:OCE87611517,Andorre l'Hospitalet,1.800264,42.589453
StopArea:OCE87611525,Mérens-les-Vals,1.837128,42.659488
StopArea:OCE87611533,Ax-les-Thermes,1.833295,42.724841
StopArea:OCE87611558,Luzenac - Garanou,1.753416,42.764472
StopArea:OCE87611574,Les Cabannes,1.686299,42.786285
StopArea:OCE87611590,Tarascon-sur-Ariège,1.600042,42.849498
StopArea:OCE87611616,Foix,1.60704,42.969707
StopArea:OCE87613000,Cahors,1.433325,44.449275
StopArea:OCE87613042,Rocamadour - Padirac,1.657104,44.818243
StopArea:OCE87613059,Gramat,1.722343,44.773549
StopArea:OCE87613075,Assier,1.869757,44.67468
StopArea:OCE87613091,Figeac,2.037355,44.603515
StopArea:OCE87613109,Capdenac,2.077963,44.578246
StopArea:OCE87613141,Gourdon,1.389264,44.741933
StopArea:OCE87613224,Aubin,2.239313,44.527276
StopArea:OCE87613232,Cransac,2.271867,44.522951
StopArea:OCE87613257,Saint-Christophe,2.407758,44.464619
StopArea:OCE87613356,Caussade,1.533667,44.162244
StopArea:OCE87613422,Rodez,2.58056,44.362633
StopArea:OCE87613661,Viviez - Decazeville,2.218258,44.555568
StopArea:OCE87615005,Albi Ville,2.137958,43.92238
StopArea:OCE87615039,Castelnaudary,1.95039,43.312292
StopArea:OCE87615112,Lézignan-Corbières,2.769139,43.199956
StopArea:OCE87615195,Albi Madeleine,2.141209,43.938137
StopArea:OCE87615625,Carmaux,2.152401,44.048782
StopArea:OCE87645507,Neussargues,2.979087,45.125462
StopArea:OCE87671123,Lannemezan,0.387367,43.114273
StopArea:OCE87686667,Paris Bercy Bourg. Pays d'Auv.,2.382791,48.839215
StopArea:OCE87696005,Nevers,3.150743,46.987282
StopArea:OCE87696260,Saincaize,3.071937,46.931405
StopArea:OCE87696328,Moulins sur Allier,3.338782,46.561394
StopArea:OCE87721472,Tarare,4.439175,45.889866
StopArea:OCE87726802,Roanne,4.063207,46.039383
StopArea:OCE87732008,Vichy,3.430476,46.126991
StopArea:OCE87732206,Saint-Germain-des-Fossés,3.430574,46.209239
StopArea:OCE87734004,Clermont-Ferrand,3.100543,45.778945
StopArea:OCE87734053,Riom - Châtel-Guyon,3.120498,45.889965
StopArea:OCE87734202,Issoire,3.25404,45.543949
StopArea:OCE87734244,Brassac-les-Mines - Sainte-Florine,3.330167,45.414246
StopArea:OCE87734251,Arvant,3.310554,45.365459
StopArea:OCE87734871,Massiac - Blesle,3.196574,45.253745
StopArea:OCE87751081,Marseille Blancarde,5.406588,43.296195
StopArea:OCE87761783,Crest,5.016106,44.730196
StopArea:OCE87761841,Die,5.363219,44.758238
StopArea:OCE87761874,Luc-en-Diois,5.454618,44.613697
StopArea:OCE87763003,Gap,6.085669,44.563714
StopArea:OCE87763300,Veynes Dévoluy,5.815807,44.532019
StopArea:OCE87763425,Chorges,6.271889,44.545842
StopArea:OCE87763466,Embrun,6.496753,44.567012
StopArea:OCE87763508,Mont-Dauphin - Guillestre,6.61561,44.674625
StopArea:OCE87763557,L'Argentière les Écrins,6.556408,44.791013
StopArea:OCE87763607,Briançon,6.632966,44.889842
StopArea:OCE87781542,Ceilhes - Roqueredonde,3.155302,43.812151
StopArea:OCE87781583,Le Bousquet-d'Orb,3.168938,43.69121
StopArea:OCE87781609,Bédarieux,3.149569,43.608697
StopArea:OCE87781666,Magalas,3.229541,43.4676
StopArea:OCE87783001,Millau,3.07457,44.102344
StopArea:OCE87783175,Saint-Flour - Chaudes-Aigues,3.106286,45.035012
StopArea:OCE87783241,Saint-Chély-d'Apcher,3.270857,44.801791
StopArea:OCE87783266,Aumont-Aubrac,3.283582,44.718235
StopArea:OCE87783282,Marvejols,3.281119,44.544675
StopArea:OCE87783324,Banassac - La Canourgue,3.195852,44.447763
StopArea:OCE87783340,Campagnac - Saint-Geniez,3.066401,44.421956
StopArea:OCE87783365,Sévérac-le-Château,3.056945,44.324652
StopArea:OCE87783423,Saint-Georges-de-Luzençon,2.983784,44.066553
StopArea:OCE87783431,Saint-Rome-de-Cernon,2.967374,44.013981
StopArea:OCE87783456,Tournemire - Roquefort,3.016626,43.9698
StopArea:OCE87784207,Elne,2.963585,42.597114
StopArea:OCE87784231,Argelès-sur-Mer,3.021919,42.543908
StopArea:OCE87784256,Collioure,3.078202,42.526928
